,text,Mapping,word_count,unique_wordcount,mean_word_length,tweet_length,url_count,hashtags,mention_count,stopwords,punctuation_count,text_Adjectives,Processed_Text
46,Can't wait to have an afternoon schedule because of you. It's gonna be so much fun #not,1,17,17,4.18,87,0,1,0,9,4,gon much,cant wait to have an afternoon schedule because of you its gonna be so much fun not
47,@user 180 dead on 26/11 n more than 10k our ppl killed in terror attacks till date but not 1 paki show sympathy 2 them #irony,1,26,26,3.85,125,0,1,1,8,3,dead sympathy,  dead on  n more than k our ppl killed in terror attacks till date but not  paki show sympathy  them irony
48,the ONLY time a crime becomes a federal crime @user @user @user @user @user @user,0,15,8,4.47,81,0,0,1,4,6,ONLY federal,the only time a crime becomes a federal crime      
49,this music is for the people and not for the money. peace and love. #KINGLIFE,0,15,12,4.2,77,0,1,0,9,3,,this music is for the people and not for the money peace and love kinglife
50,Rangers league game with Alloa moved because of the Petrofac Cup final in April... #irony,1,15,15,5.0,89,0,1,0,5,4,final,rangers league game with alloa moved because of the petrofac cup final in april irony
51,How to Find a Life Coach (& the questions you need to ask before hiring one) via> @user,0,18,17,3.89,87,0,0,1,7,5,,how to find a life coach  the questions you need to ask before hiring one via 
52,I wonder what was the holiday rituals for true Africans,0,10,10,4.6,55,0,0,0,5,0,true,i wonder what was the holiday rituals for true africans
53,Been at the ER now since 10... #yay #not,1,9,9,3.56,40,0,1,0,4,5,,been at the er now since  yay not
54,@user Suhs been clean for 2 years and has only been in the league for five don't act like he was dirty for 10 years#not biased my ass,0,28,25,3.79,133,0,1,1,15,3,clean, suhs been clean for  years and has only been in the league for five dont act like he was dirty for  yearsnot biased my ass
55,"@user @user thank you studs for perfecting and teaching my bench, respectively. Props on form from lifters in AL. #DYEL",0,20,19,5.0,119,0,1,1,7,6,,  thank you studs for perfecting and teaching my bench respectively props on form from lifters in al dyel
56,Haley approves of her new hammock 🐭 #ratsofinstagram,0,8,8,5.62,52,0,1,0,2,1,new,haley approves of her new hammock 🐭 ratsofinstagram
57,"30 years on, people still haven't got justice they deserve. #BhopalGasTragedy Yet another brilliant job done by the Americans #sarcasm",1,20,20,5.75,134,0,1,0,4,5,brilliant, years on people still havent got justice they deserve bhopalgastragedy yet another brilliant job done by the americans sarcasm
58,"Pips who drop out of school n have Kirya as 'eir role model tht ey wana sing too..guy spix Portuguese,French,english...#Not a school dropout",0,23,22,5.13,140,0,1,0,6,9,'eir tht ey too..guy spix,pips who drop out of school n have kirya as eir role model tht ey wana sing tooguy spix portuguesefrenchenglishnot a school dropout
59,Free Pets and Animals Books #freebiebookdownload #Pets,0,7,7,6.86,54,0,1,0,1,2,Free,free pets and animals books freebiebookdownload pets
60,@user There will be no next employer in NFL for Trestman. He was a disgraceful hire and never stood a chance.,0,21,20,4.24,109,0,0,1,10,3,next disgraceful, there will be no next employer in nfl for trestman he was a disgraceful hire and never stood a chance
61,Loooovvveeeeeee when my phone gets wiped -.- #not,1,8,8,5.25,49,0,1,0,2,4,,loooovvveeeeeee when my phone gets wiped  not
62,Painting all cops with a broad brush because of the actions of a few is the same logic racists use. #Irony,1,21,18,4.1,106,0,1,0,12,2,broad few same,painting all cops with a broad brush because of the actions of a few is the same logic racists use irony
63,Don't know if I can handle this crazy 11-2 shift. It's so long I might pass out on the job! #sarcasm,1,21,20,3.81,100,0,1,0,11,6,crazy 11-2 long,dont know if i can handle this crazy  shift its so long i might pass out on the job sarcasm
64,I just love being ignored😊|#not😒,1,5,5,5.6,32,0,1,0,3,2,ignored😊|,i just love being ignored😊not😒
65,"#Irony RT @user If you're going to give someone a scathing, 1-Star review for poor grammar, FFS use proper grammar.",1,20,20,4.8,115,0,1,1,5,7,1-Star poor proper,irony rt  if youre going to give someone a scathing star review for poor grammar ffs use proper grammar
66,Produce Mobile Apps #not,1,4,4,5.25,24,0,1,0,0,1,,produce mobile apps not
67,Decide that you want it more than you are afraid of it. -Bill Cosby|#irony,1,14,13,4.36,74,0,1,0,8,4,afraid,decide that you want it more than you are afraid of it bill cosbyirony
68,"Finally finished the first season of #VeronicaMars. Move over, #CliffHuxtable. Keith Mars is the new sheriff--er, ultimate #TV dad--in town.",0,20,19,6.05,140,0,1,0,4,12,first new ultimate,finally finished the first season of veronicamars move over cliffhuxtable keith mars is the new sheriffer ultimate tv dadin town
69,Merry Christmas to all those soldiers out there that couldn't make it home! I love you all ❤,0,18,17,4.17,92,0,0,0,11,2,,merry christmas to all those soldiers out there that couldnt make it home i love you all ❤
70,About as relevant as Michael Sam and Jason Collins. RT @user Major League Baseball umpire Dale Scott comes out as gay.,0,21,19,4.67,118,0,0,1,6,3,relevant,about as relevant as michael sam and jason collins rt  major league baseball umpire dale scott comes out as gay
71,Getting Final Jeopardy correct on Kids Jeopardy boosts my self-esteem,0,10,9,6.0,69,0,0,0,2,1,self-esteem,getting final jeopardy correct on kids jeopardy boosts my selfesteem
72,itsfunny bc people think im quiet|but im just listening toeveryones convos|and figuring out ur weaknesses|todestroy u later in life #sarcasm,1,20,19,6.05,140,0,1,0,3,4,itsfunny im ur,itsfunny bc people think im quietbut im just listening toeveryones convosand figuring out ur weaknessestodestroy u later in life sarcasm
73,"Woke Up , showered , made a lunch and got ready for work only to realize that I have the whole weekend off. 😅",0,24,23,3.58,109,0,0,0,10,3,ready whole,woke up  showered  made a lunch and got ready for work only to realize that i have the whole weekend off 😅
74,@user @user @user @user @user How many of those jobs earn #middleclass wages? #Economics #Math #Z,0,16,12,5.12,97,0,1,1,3,10,many,     how many of those jobs earn middleclass wages economics math z
75,I reckon straight women fancy victoria secret models more than straight men do #victoriasecret #irony,1,15,14,5.8,101,0,1,0,4,2,straight fancy secret straight,i reckon straight women fancy victoria secret models more than straight men do victoriasecret irony
76,Incredible insight on the @user #bornrisky campaign: #amputee #movement #equality #art #prosthetics,0,12,12,7.33,99,0,1,1,2,8,Incredible bornrisky,incredible insight on the  bornrisky campaign amputee movement equality art prosthetics
77,Love #hiphop mix tapes or have a mixtape to promote check out follow them on twitter #undergroundhiphop,0,17,17,5.12,103,0,1,0,7,2,,love hiphop mix tapes or have a mixtape to promote check out follow them on twitter undergroundhiphop
78,"Extended cut ""NICHA"" #trailer #spoof #film #dramatic #action #film2014 #youtube #fightscenes",0,11,11,7.45,92,0,1,0,0,10,spoof dramatic film2014,extended cut nicha trailer spoof film dramatic action film youtube fightscenes
79,@user Stunning work. #british #textiles #footwear #madeinbritain #not-a-nike-clone,0,8,8,9.38,82,0,1,1,0,10,british footwear madeinbritain, stunning work british textiles footwear madeinbritain notanikeclone
80,@user @user Sent it but too slow. I had already posted.,0,11,10,4.09,55,0,0,1,5,4,slow,  sent it but too slow i had already posted
81,#FEMALECONDOM #anally #vaginally #prevent STD's/HIV/pregnancy #latex #free #NOT #Restrictive/tight #women/gay men,0,11,11,9.36,113,0,1,0,0,14,prevent latex free,femalecondom anally vaginally prevent stdshivpregnancy latex free not restrictivetight womengay men
82,Little cutie #Chico #Dog #Doggy #Puppy #Sweet #Cute #UK #Black #Biscuit #Not #Mine #Mini #Miss #My,0,16,16,5.19,98,0,1,0,0,14,Little cutie,little cutie chico dog doggy puppy sweet cute uk black biscuit not mine mini miss my
83,@user Niagra Falls tho... Really? #irony #LOL,1,7,7,5.57,45,0,1,1,0,7,irony, niagra falls tho really irony lol
84,"If we win against Poland and Scotland, does that put us 65th in the world rankings. @user @user #Sarcasm",1,19,18,4.53,104,0,1,1,8,5,user,if we win against poland and scotland does that put us th in the world rankings   sarcasm
85,#Myanmar #men #plead #not #guilty to #murder of #British #tourists. via @user,0,12,12,5.5,77,0,1,1,2,10,plead guilty British,myanmar men plead not guilty to murder of british tourists via 
86,"Since the tribunal was established 14 years ago, no complaint against the intelligence services has ever been upheld. #trustthesystem #not",1,20,19,5.95,138,0,1,0,9,4,upheld,since the tribunal was established  years ago no complaint against the intelligence services has ever been upheld trustthesystem not
87,@user Garner protesters chant 'F*ck Fox News' despite Fox agreeing with them #EricGarner #Irony,1,14,13,5.86,95,0,1,1,2,6,, garner protesters chant fck fox news despite fox agreeing with them ericgarner irony
88,"@user After 1989, why did NATO need to expand?",0,9,9,4.22,46,0,0,1,4,3,, after  why did nato need to expand
89,The #Irony of playing this song on my way to #work |#NoMoney #PartTimeCooks blackmossptc thanks for...,1,16,16,5.44,102,0,1,0,6,8,,the irony of playing this song on my way to work nomoney parttimecooks blackmossptc thanks for
90,You are taking your responsibilities so seriously today that i... More for Leo,0,13,13,5.08,78,0,0,0,7,3,,you are taking your responsibilities so seriously today that i more for leo
91,@user @user @user @user @user we get it right for business the trickle down fairy will do the rest #NOT,1,20,15,4.2,103,0,1,1,8,6,,     we get it right for business the trickle down fairy will do the rest not
92,can you not understand that not EVERYTHING is about the President? @user @user @user @user,0,15,11,5.07,90,0,0,1,8,5,,can you not understand that not everything is about the president    
93,When you're in the doctors waiting room and hear a baby in the back screaming her lungs out is always a reassuring feeling #not,1,24,21,4.33,127,0,1,0,12,2,back reassuring,when youre in the doctors waiting room and hear a baby in the back screaming her lungs out is always a reassuring feeling not
94,"Well now the festive season has begun, let's take a moment to reflect on how much more royalties Slade and Wizard will get #sarcasm",1,24,24,4.5,131,0,1,0,10,3,,well now the festive season has begun lets take a moment to reflect on how much more royalties slade and wizard will get sarcasm
95,"The last day of the year and I will be tweeting on my major highpoints of the year ...good, bad and ugly",0,22,18,3.77,104,0,0,0,11,4,last major good bad,the last day of the year and i will be tweeting on my major highpoints of the year good bad and ugly
96,MB forgot to move the elf on shelf and now 10 is asking me if Christmas is real. 😥@NannyProbss,0,19,18,4.0,94,0,0,1,8,2,real @,mb forgot to move the elf on shelf and now  is asking me if christmas is real 😥
97,"@user happy new year, da! Thanks sobra for this year 👍👍",0,11,11,4.09,55,0,0,1,2,3,happy new, happy new year da thanks sobra for this year 👍👍
98,WATCH: #Megatron from #Transformers Rant About Social Media #Irony,0,9,9,6.44,66,0,1,0,2,4,,watch megatron from transformers rant about social media irony
99,@user @user #not #working when are we able to download games we paid in good faith? #psn start working again?,0,20,18,4.5,109,0,1,1,6,7,able good psn,  not working when are we able to download games we paid in good faith psn start working again
100,I just wrote a 13 page paper... I was awfully tired when I was writing it and now I can't sleep. #irony,1,22,18,3.73,103,0,1,0,12,6,tired,i just wrote a  page paper i was awfully tired when i was writing it and now i cant sleep irony
101,@user happy birthday Skip! We will always love you! #Phillies #legend,0,11,11,5.36,69,0,1,1,1,5,happy, happy birthday skip we will always love you phillies legend
102,"or a trout, or northern pike|@brownbearmike1 @user @user @user @user",0,10,6,5.9,68,0,0,1,3,7,northern,or a trout or northern pike    
103,One of my favorite things to do is to make people wonder...it was completely unintentional but buying Bogs mud boots in a dress will do it,0,26,24,4.35,138,0,0,0,12,3,favorite unintentional,one of my favorite things to do is to make people wonderit was completely unintentional but buying bogs mud boots in a dress will do it
104,"Watching Sanjay, @user ... Getting the start vs. Butler and liking what I see! #Minny",0,15,15,4.73,85,0,1,1,4,8,,watching sanjay   getting the start vs butler and liking what i see minny
105,There's no better way to start the week than to get your wisdom teeth taken out at 8 am!!! #not ☺😊😳,1,21,20,3.76,99,0,1,0,10,5,,theres no better way to start the week than to get your wisdom teeth taken out at  am not ☺😊😳
106,The most exciting way to start a Friday: a presentation on structurally deficient bridges. #sarcasm #lobbyinglife,1,16,15,6.12,113,0,1,0,6,4,exciting deficient sarcasm,the most exciting way to start a friday a presentation on structurally deficient bridges sarcasm lobbyinglife
107,New shirt #new #shirt #im #sorry #its #just #i #literally #do #not #care #at #all,0,15,15,4.47,81,0,1,0,0,13,new shirt im sorry i,new shirt new shirt im sorry its just i literally do not care at all
108,@user @user @user It wasn't for one person. It was a business expense.,0,13,10,4.46,70,0,0,1,6,6,,   it wasnt for one person it was a business expense
109,HAHAHAHA!! Oops.......I'm addicted to @user Tweets sooo FUNNY! You Got to follow him for #HILARIOUS #SARCASM #tweets #RT.,0,18,17,5.78,121,0,1,1,5,17,user,hahahaha oopsim addicted to  tweets sooo funny you got to follow him for hilarious sarcasm tweets rt
110,@user @user @user absolutely loved it! Well done all involved!,0,10,8,5.3,62,0,0,1,1,5,,   absolutely loved it well done all involved
111,"@user That was the case, not the recording.So comparing the two is apple & oranges.",0,15,13,4.6,83,0,0,1,7,5,, that was the case not the recordingso comparing the two is apple  oranges
112,Wow...lol||Need cash in your hands today? Go to #not #wun #not #mca...,0,12,11,4.92,70,0,1,0,3,13,,wowlolneed cash in your hands today go to not wun not mca
113,At least I don't have to clean the floor,0,9,9,3.56,40,0,0,0,6,1,,at least i dont have to clean the floor
114,Incidentally the foreword for movie #BhopalAPrayerForRain is by Subroto Roy Sahara - saying - justice delayed is justice denied. #Irony,1,20,17,5.8,135,0,1,0,5,5,justice,incidentally the foreword for movie bhopalaprayerforrain is by subroto roy sahara  saying  justice delayed is justice denied irony
115,@user Our 3 losses followed bye weeks & an FCS team. Do we get rid of those next year? #sarcasm,1,20,20,3.8,95,0,1,1,7,5,bye rid next, our  losses followed bye weeks  an fcs team do we get rid of those next year sarcasm
116,#AskSuperwomanLIVE if you could swim in any liquid besides water what would you swim in?@IISuperwomanII |4,0,16,14,5.69,106,0,1,1,8,4,liquid @,asksuperwomanlive if you could swim in any liquid besides water what would you swim in 
117,One of the most embarrassing losses @user Ever. #WTF,0,9,9,4.89,52,0,1,1,3,3,embarrassing user,one of the most embarrassing losses  ever wtf
118,@user untrue - its Cutler's fault,0,6,6,4.67,33,0,0,1,1,3,untrue, untrue  its cutlers fault
119,#Malala Yousufzai receives #NobelPeacePrize and #Pakistan ranks in top 10 dangerous countries !!! #irony,1,14,14,6.5,104,0,1,0,2,7,top dangerous,malala yousufzai receives nobelpeaceprize and pakistan ranks in top  dangerous countries  irony
120,#Not so Ugly Christmas Sweater red with red snowflakes & sequins cardigan 1X XL,0,14,13,4.71,79,0,1,0,2,2,red,not so ugly christmas sweater red with red snowflakes  sequins cardigan x xl
121,Testing water temperatures #excitingtimes #Not,1,5,5,8.4,46,0,1,0,0,2,,testing water temperatures excitingtimes not
122,Waking up with your cat attacking your hand is always delightful..... #not,1,12,11,5.25,74,0,1,0,5,6,delightful,waking up with your cat attacking your hand is always delightful not
123,"May not have hung out with you as much as some people, but every time we did it was a blast! You...",0,22,21,3.55,99,0,0,0,14,5,much,may not have hung out with you as much as some people but every time we did it was a blast you
124,@user the #USA is #NOT a #Democracy. The #USA is a #Republic from of #Goverment! Do you #Know #what the #Pledge of #Allegiance say's?,0,24,19,4.58,133,0,1,1,12,15,, the usa is not a democracy the usa is a republic from of goverment do you know what the pledge of allegiance says
125,I blame my mom. Mother of the Year #sarcasm,1,9,9,3.89,43,0,1,0,4,2,,i blame my mom mother of the year sarcasm
126,Pulling my books out to prepare to organize my new bookshelves caused me to forget to bring my book today. #irony,1,21,16,4.43,113,0,1,0,9,2,new,pulling my books out to prepare to organize my new bookshelves caused me to forget to bring my book today irony
127,"@user @user To be fair, you didn't use the mandatory #sarcasm hashtag :P",0,13,12,4.62,72,0,1,1,5,6,fair mandatory sarcasm,  to be fair you didnt use the mandatory sarcasm hashtag p
128,"'I like the hope Jan Ellis writes with, the precision of the prose, and also the #humour and #irony she brings.'",0,21,17,4.38,112,0,1,0,10,7,,i like the hope jan ellis writes with the precision of the prose and also the humour and irony she brings
129,Girls just wanna have fun#work#not#friends#only#dance#drinks#antennagrouprocks by mariag...,0,7,7,12.14,91,0,1,0,3,10,,girls just wanna have funworknotfriendsonlydancedrinksantennagrouprocks by mariag
130,"The Bay Area storm is so big that tons of people's work was canceled today, causing me to be early to mine. #irony #stormageddon",1,24,23,4.38,128,0,1,0,10,5,big early irony,the bay area storm is so big that tons of peoples work was canceled today causing me to be early to mine irony stormageddon
131,@user I'm from the UK and I honestly think your a goddess! I love how you speak your mind but have a gentle side. #love #PattiKnows,0,26,23,4.08,131,0,1,1,14,6,gentle love, im from the uk and i honestly think your a goddess i love how you speak your mind but have a gentle side love pattiknows
132,Leaving whilst its dark is fun. #not,1,7,7,4.29,36,0,1,0,2,2,fun,leaving whilst its dark is fun not
133,@user please note #sarcasm in last tweet before you kill yourself ;) many good pros including @user can show you best usage,0,22,20,4.64,123,0,1,1,6,5,user please last many good @, please note sarcasm in last tweet before you kill yourself  many good pros including  can show you best usage
134,@user my mum to be back with us for Xmas 🎄,0,11,11,2.91,42,0,0,1,5,1,user, my mum to be back with us for xmas 🎄
135,"@user Even though @user got more ex-wives than @user majors, I'm happy for that washed-up mess... #Not!! #Blocked",1,18,16,5.33,113,0,1,1,5,14,user happy washed-up, even though  got more exwives than  majors im happy for that washedup mess not blocked
136,@user Ucan MAKE MONEY #TWEETING this info w/ new app||http://t.co/Q2WB7riAvK <-News ||https://t.co/cpJZkEgNe7,0,12,12,8.17,109,2,1,1,1,19,user new, ucan make money tweeting this info w new app news 
137,Take me tooooo church #not,0,5,5,4.4,26,0,1,0,1,1,tooooo,take me tooooo church not
138,"A 'republican move' which will 'effectively rob the royals'. Kate's spending 32k on1meal, who is being robbed? #irony",1,18,18,5.56,117,0,1,0,6,9,'republican,a republican move which will effectively rob the royals kates spending k onmeal who is being robbed irony
139,#obama @user announce special urgent package for #Pakistan .. supported by @user to enhance their fight against obscurantists. #NOT,1,19,18,5.95,131,0,1,1,5,8,user special urgent,obama  announce special urgent package for pakistan  supported by  to enhance their fight against obscurantists not
140,@user Shirota Yu and... Inoue Yoshio? He was in Mozart! apparently.,0,11,11,5.18,67,0,0,1,3,7,, shirota yu and inoue yoshio he was in mozart apparently
141,"Looking for quality music check> @user hot record ""What About""",0,10,10,5.3,62,0,0,1,1,4,hot,looking for quality music check  hot record what about
142,"how is it possible that somebody so interesting is also so, so, so boring? #irony #what",1,16,13,4.5,87,0,1,0,8,5,possible interesting boring,how is it possible that somebody so interesting is also so so so boring irony what
143,"@user Not going this time, we might have a chance! Fool me once, shame on you, fool me twice..... #fuckthat",0,20,19,4.4,107,0,1,1,8,11,.., not going this time we might have a chance fool me once shame on you fool me twice fuckthat
144,@user Minky Wale tail fritter for price of a bijoux flat in Port Talbot.,0,14,14,4.21,72,0,0,1,4,2,flat, minky wale tail fritter for price of a bijoux flat in port talbot
145,".@ibnlive is the first to cut to ads during primetime to proudly announce that they're ""putting journalism first"". #Irony #NLprimetime",1,20,18,5.75,134,0,1,1,8,8,@ first, is the first to cut to ads during primetime to proudly announce that theyre putting journalism first irony nlprimetime
146,".@ChrisBrett2 @user @user @user I think it's your white skin. Or ""racist DNA"". He's a geneticist too, did ya know? #not",1,21,19,4.71,119,0,1,1,7,14,white racist,    i think its your white skin or racist dna hes a geneticist too did ya know not
147,#hi #good #morning #instadaily #snapchat #selfie #comment # #sleep #do #not #wake #up @ Happy,0,15,15,5.27,93,0,1,1,0,14,hi good selfie sleep Happy,hi good morning instadaily snapchat selfie comment  sleep do not wake up  happy
148,I JUST WANT TO BE DONE WITH FINALS #4hoursleft,0,9,9,4.22,46,0,1,0,5,1,,i just want to be done with finals hoursleft
149,"1 bed flat #ToLet £550 pcm (£127 pw)|Humphrey Middlemore Drive, Harborne, #Birmingham B17|http://t.co/QHYcB5zKEv",0,13,13,7.69,112,1,1,0,0,13,flat, bed flat tolet £ pcm £ pwhumphrey middlemore drive harborne birmingham b
150,So there used to be a crossfit place here.... #irony #pizzawins,1,11,11,4.82,63,0,1,0,5,6,crossfit irony,so there used to be a crossfit place here irony pizzawins
151,When I start singing songs from Once More With Feeling to myself while at work... #Buffymusical #stuckinmyhead,0,17,17,5.53,110,0,1,0,10,5,,when i start singing songs from once more with feeling to myself while at work buffymusical stuckinmyhead
152,"I'm heading off, but need to say this! ""Just because I am concerned for my country, and it's people-Does #NOT make me a racist! #Terrorists",0,25,25,4.6,139,0,1,0,12,10,people-Does,im heading off but need to say this just because i am concerned for my country and its peopledoes not make me a racist terrorists
153,Work hard in silence; let success make the noise.,0,9,9,4.56,49,0,0,0,2,2,,work hard in silence let success make the noise
